atomic_number ion_charge ionization_energy
23 8 206.0
23 9 230.5
23 10 254.8
23 11 308.5
23 12 336.274
23 13 896.0
23 14 977.2
23 15 1062.9
23 16 1165.2
23 17 1258.9
23 18 1354.2
23 19 1486.7
23 20 1569.656
23 21 6851.3112
23 22 7246.12624
24 0 6.76651
24 1 16.486305
24 2 30.959
24 3 49.16
24 4 69.46
24 5 90.6349
24 6 160.29
24 7 184.76
24 8 209.5
24 9 244.5
24 10 270.8
24 11 296.7
24 12 354.7
24 13 384.163
24 14 1011.6
24 15 1097.2
24 16 1188.0
24 17 1294.8
24 18 1394.5
24 19 1495.1
24 20 1634.1
24 21 1721.183
24 22 7481.8624
24 23 7894.80289
25 0 7.434038
25 1 15.63999
25 2 33.668
25 3 51.21
25 4 72.41
25 5 95.604
25 6 119.203
25 7 195.5
25 8 221.89
25 9 248.6
25 10 286.1
25 11 314.4
25 12 343.6
25 13 402.95
25 14 435.172
25 15 1133.7
25 16 1224.1
25 17 1320.3
25 18 1430.9
25 19 1537.2
25 20 1643.2
25 21 1788.7
25 22 1879.873
25 23 8140.7864
25 24 8571.95438
26 0 7.9024681
26 1 16.19921
26 2 30.651
26 3 54.91
26 4 75.0
26 5 98.985
26 6 124.9671
26 7 151.06
26 8 233.6
26 9 262.1
26 10 290.9
26 11 330.8
26 12 361.0
26 13 392.2
26 14 456.2
26 15 489.312
26 16 1262.7
26 17 1357.8
26 18 1460.0
26 19 1575.6
26 20 1687.0
26 21 1798.4
26 22 1950.4
26 23 2045.759
26 24 8828.1864
26 25 9277.6886
27 0 7.88101
27 1 17.0844
27 2 33.5
27 3 51.27
27 4 79.5
27 5 102.0
27 6 128.9
27 7 157.8
27 8 186.14
27 9 275.4
27 10 305.32
27 11 336.1
27 12 378.5
27 13 410.0
27 14 441.1
27 15 511.96
27 16 546.588
27 17 1397.2
27 18 1504.5
27 19 1606.0
27 20 1724.0
27 21 1844.0
27 22 1960.8
27 23 2119.4
27 24 2218.876
27 25 9544.1817
27 26 10012.1297
28 0 7.639878
28 1 18.168838
28 2 35.187
28 3 54.92
28 4 76.06
28 5 108.0
28 6 132.0
28 7 162.0
28 8 193.2
28 9 224.7
28 10 319.5
28 11 351.6
28 12 384.5
28 13 429.3
28 14 462.8
28 15 495.4
28 16 571.07
28 17 607.02
28 18 1540.1
28 19 1646.0
28 20 1758.0
28 21 1880.0
28 22 2008.1
28 23 2130.5
28 24 2295.6
28 25 2399.259
28 26 10288.8848
28 27 10775.3948
29 0 7.72638
29 1 20.29239
29 2 36.841
29 3 57.38
29 4 79.8
29 5 103.0
29 6 139.0
29 7 166.0
29 8 198.0
29 9 232.2
29 10 265.33
29 11 367.0
29 12 401.0
29 13 436.0
29 14 483.1
29 15 518.7
29 16 552.8
29 17 632.5
29 18 670.608
29 19 1690.5
29 20 1800.0
29 21 1918.0
29 22 2044.0
29 23 2179.4
29 24 2307.3
29 25 2479.1
29 26 2586.954
29 27 11062.4309
29 28 11567.6237
30 0 9.394197
30 1 17.96439
30 2 39.7233
30 3 59.573
30 4 82.6
30 5 108.0
30 6 133.9
30 7 173.9
30 8 203.0
30 9 238.0
30 10 274.4
30 11 310.8
30 12 417.6
30 13 453.4
30 14 490.6
30 15 540.0
30 16 577.8
30 17 613.3
30 18 697.5
30 19 737.366
30 20 1846.8
30 21 1961.0
30 22 2085.0
30 23 2214.0
30 24 2358.0
30 25 2491.5
30 26 2669.9
30 27 2781.996
30 28 11864.9401
30 29 12388.9427
